"No.","Time","Source","Destination","Protocol","Length","Info"
"40","0.000109","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"41","0.000109","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"44","0.000285","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"45","0.000289","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"46","0.000336","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"47","0.000360","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"48","0.000377","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"49","0.000400","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"50","0.000413","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"51","0.000441","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"52","0.000450","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"53","0.000489","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"54","0.000506","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"55","0.000529","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"56","0.000543","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"57","0.000579","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"63","0.074317","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"64","0.074321","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"68","0.076953","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"72","0.077389","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"76","0.079084","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"77","0.079276","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"86","0.081379","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"87","0.081384","10.100.102.6","216.58.204.10","TLSv1.2","8268","Application Data"
"88","0.081605","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
